full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
Windy3f3f3f3f/how-claude-code-works,3626,3626,704,1,1,0,https://github.com/Windy3f3f3f3f/how-claude-code-works
zstmfhy/Claude-code,189,189,281,0,0,0,https://github.com/zstmfhy/Claude-code
Maciek-roboblog/Claude-Code-Usage-Monitor,8705,8705,459,1,1,2,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
alejandrobalderas/claude-code-from-source,2793,2793,753,-1,-1,0,https://github.com/alejandrobalderas/claude-code-from-source
lorryjovens-hub/claude-code-rust,1662,1662,640,-1,-1,-1,https://github.com/lorryjovens-hub/claude-code-rust
freestylefly/claude-code,131,131,308,0,0,0,https://github.com/freestylefly/claude-code
disler/claude-code-hooks-mastery,3919,3919,637,3,3,0,https://github.com/disler/claude-code-hooks-mastery
Tinkeringg-Lab/claude-code,212,212,240,0,0,0,https://github.com/Tinkeringg-Lab/claude-code
WorldFlowAI/everything-claude-code,2931,2931,453,36,36,5,https://github.com/WorldFlowAI/everything-claude-code
777genius/claude-code-source-code,931,931,1090,0,0,0,https://github.com/777genius/claude-code-source-code
fazxes/Claude-code,240,240,217,0,0,0,https://github.com/fazxes/Claude-code
ding113/claude-code-hub,3372,3372,392,3,3,-1,https://github.com/ding113/claude-code-hub
fuergaosi233/claude-code-proxy,2788,2788,415,1,1,1,https://github.com/fuergaosi233/claude-code-proxy
overwirehq/claude-code-telegram,2783,2783,420,1,1,-1,https://github.com/overwirehq/claude-code-telegram
SeemSeam/claude_codex_bridge,3497,3497,343,3,3,0,https://github.com/SeemSeam/claude_codex_bridge
Yuyz0112/claude-code-reverse,2432,2432,413,1,1,0,https://github.com/Yuyz0112/claude-code-reverse
kodu-ai/claude-coder,5221,5221,199,0,0,0,https://github.com/kodu-ai/claude-coder
Windy3f3f3f3f/claude-code-from-scratch,2679,2679,541,2,2,1,https://github.com/Windy3f3f3f3f/claude-code-from-scratch
mehmoodosman/claude-code,174,174,214,0,0,-1,https://github.com/mehmoodosman/claude-code
isboyjc/claude-code,162,162,218,0,0,0,https://github.com/isboyjc/claude-code
affaan-m/ECC,258419,258419,38654,641,641,103,https://github.com/affaan-m/ECC
Cranot/claude-code-guide,2865,2865,317,0,0,0,https://github.com/Cranot/claude-code-guide
luyao618/Claude-Code-Source-Study,1705,1705,577,1,1,1,https://github.com/luyao618/Claude-Code-Source-Study
Chachamaru127/claude-code-harness,3114,3114,300,2,2,1,https://github.com/Chachamaru127/claude-code-harness
asgeirtj/system_prompts_leaks,66793,66793,10873,717,717,70,https://github.com/asgeirtj/system_prompts_leaks
https-deeplearning-ai/sc-claude-code-files,548,548,838,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
krusemediallc/arcads-claude-code,1499,1499,367,3,3,0,https://github.com/krusemediallc/arcads-claude-code
jqueryscript/awesome-claude-code,514,514,573,0,0,2,https://github.com/jqueryscript/awesome-claude-code
repowise-dev/claude-code-prompts,1203,1203,395,0,0,0,https://github.com/repowise-dev/claude-code-prompts
anthropics/claude-code-base-action,982,982,612,1,1,0,https://github.com/anthropics/claude-code-base-action
lowcortisolprogrammer/claude-code,171,171,164,0,0,0,https://github.com/lowcortisolprogrammer/claude-code
huangjia2019/claude-code-engineering,1110,1110,388,0,0,0,https://github.com/huangjia2019/claude-code-engineering
AprilNEA/claude-code-source,391,391,602,0,0,0,https://github.com/AprilNEA/claude-code-source
guanshan/ClaudeCode,61,61,211,0,0,0,https://github.com/guanshan/ClaudeCode
Pimzino/claude-code-spec-workflow,3857,3857,279,0,0,0,https://github.com/Pimzino/claude-code-spec-workflow
JrCx7scC/claude-code-source,376,376,538,0,0,0,https://github.com/JrCx7scC/claude-code-source
disler/pi-vs-claude-code,1679,1679,386,3,3,0,https://github.com/disler/pi-vs-claude-code
OrcaWhisper/Claude-Code,96,96,179,0,0,0,https://github.com/OrcaWhisper/Claude-Code
digitalsamba/claude-code-video-toolkit,2081,2081,358,2,2,1,https://github.com/digitalsamba/claude-code-video-toolkit
edmund-io/edmunds-claude-code,1506,1506,281,0,0,0,https://github.com/edmund-io/edmunds-claude-code
multica-ai/andrej-karpathy-skills,213021,213021,21581,227,227,14,https://github.com/multica-ai/andrej-karpathy-skills
ccplugins/awesome-claude-code-plugins,938,938,492,1,1,3,https://github.com/ccplugins/awesome-claude-code-plugins
Yeachan-Heo/oh-my-claudecode,39162,39162,3502,28,28,1,https://github.com/Yeachan-Heo/oh-my-claudecode
VILA-Lab/Dive-into-Claude-Code,2108,2108,320,1,1,1,https://github.com/VILA-Lab/Dive-into-Claude-Code
xu-xiang/everything-claude-code-zh,1945,1945,317,1,1,1,https://github.com/xu-xiang/everything-claude-code-zh
andrew-kramer-inno/claude-code-source-build,596,596,508,0,0,0,https://github.com/andrew-kramer-inno/claude-code-source-build
feiskyer/claude-code-settings,1652,1652,239,0,0,1,https://github.com/feiskyer/claude-code-settings
AICoderTudou/claude-code-tudou,494,494,394,0,0,0,https://github.com/AICoderTudou/claude-code-tudou
anthropics/skills,176330,176330,20869,186,186,24,https://github.com/anthropics/skills
KPR111/Claude-Code,18,18,325,0,0,0,https://github.com/KPR111/Claude-Code
darcyegb/ClaudeCodeAgents,762,762,69,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
sugyan/claude-code-webui,1140,1140,256,0,0,0,https://github.com/sugyan/claude-code-webui
ghuntley/claude-code-source-code-deobfuscation,992,992,547,0,0,-1,https://github.com/ghuntley/claude-code-source-code-deobfuscation
beilingcc/claude-code,98,98,144,0,0,0,https://github.com/beilingcc/claude-code
